ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
GO:0006260	GO:0006260	DNA replication	43/666	270/13131	0.159259259259259	3.13998998998999	8.21257958315079	1.83046217888737e-11	8.31029829214867e-08	7.70913597655618e-08	6282/51514/22944/55388/22891/64318/6240/7465/2237/23649/1111/4673/144455/5985/5983/79596/5427/11169/5888/54962/23594/64785/55159/51659/79915/672/80174/146956/5932/5937/9837/7150/8318/993/6596/5984/2069/5558/10926/4176/222229/84296/79075	43
GO:0006261	GO:0006261	DNA-templated DNA replication	29/666	160/13131	0.18125	3.57356418918919	7.57062270055207	1.79213594502599e-09	4.06814859520899e-06	3.77386100844683e-06	55388/22891/64318/6240/2237/23649/144455/5985/5983/5427/11169/5888/54962/23594/55159/79915/672/80174/146956/5932/9837/8318/6596/5984/5558/10926/4176/222229/84296	29
GO:0090068	GO:0090068	positive regulation of cell cycle process	33/666	227/13131	0.145374449339207	2.86623407548518	6.55601898513153	4.26432033042365e-08	6.45333810004112e-05	5.9865072428158e-05	55143/991/163786/51514/6240/7465/2237/595/1111/10635/144455/9493/9212/79915/80174/7039/23397/699/994/11065/6790/56852/993/25886/1894/64151/2069/685/10733/891/10926/2146/301	33
GO:0000280	GO:0000280	nuclear division	44/666	374/13131	0.117647058823529	2.31955484896661	5.98428552317444	1.5736650844494e-07	0.000156250143022053	0.000144947095346912	2827/55143/991/11004/8438/83540/23411/1111/10635/2059/440145/90417/5888/55055/9493/9212/81565/29893/146956/29128/147841/7039/23397/699/994/11065/6790/3976/11144/56992/79598/64151/2069/685/84057/5810/64105/891/9232/54908/858/54984/4603/1164	44
GO:0007059	GO:0007059	chromosome segregation	45/666	388/13131	0.115979381443299	2.2866745611591	5.94664580916962	1.72081655310631e-07	0.000156250143022053	0.000144947095346912	55143/991/11004/23421/163786/83540/23411/440145/90417/55055/9493/9212/81565/6605/29893/672/10982/29128/147841/23354/23397/699/55355/7150/11065/6790/11144/79019/55207/56852/56992/79598/1894/64151/84057/79682/64105/891/64946/9232/54908/55166/387103/54984/10783	45
GO:0045787	GO:0045787	positive regulation of cell cycle	36/666	288/13131	0.125	2.46452702702703	5.80876396472065	5.00250096846147e-07	0.000374357656012334	0.000347276833226374	55143/991/163786/51514/6240/7465/2237/595/1111/10635/144455/9493/9212/79915/80174/7039/23397/699/994/11065/6790/56852/993/25886/1894/64151/2069/685/10733/891/10926/440/2146/301/25/6990	36
GO:0048285	GO:0048285	organelle fission	46/666	418/13131	0.110047846889952	2.16972714341135	5.61787434864038	5.77203434380251e-07	0.000374357656012334	0.000347276833226374	2827/55143/991/11004/8438/83540/23411/1111/10635/2059/440145/90417/5888/55055/9493/9212/81565/29893/146956/29128/147841/7039/23397/699/994/11065/6790/3976/11144/56992/79598/23023/64151/2069/685/84057/5810/64105/891/9232/54908/858/54984/4603/51571/1164	46
GO:0010212	GO:0010212	response to ionizing radiation	22/666	133/13131	0.165413533834586	3.2613289981711	6.05863294840343	8.49583700484477e-07	0.000482138750024941	0.000447261103373473	8438/10276/23411/6240/595/3014/867/10635/5888/55159/672/10010/64859/7056/7150/1894/5810/5562/1161/7518/1958/6591	22
GO:1902751	GO:1902751	positive regulation of cell cycle G2/M phase transition	10/666	31/13131	0.32258064516129	6.36006974716652	6.90619721848735	1.76988263732719e-06	0.000892807463718384	0.000828222272742234	51514/6240/7465/595/1111/79915/80174/994/993/891	10
GO:1901987	GO:1901987	regulation of cell cycle phase transition	43/666	404/13131	0.106435643564356	2.09850816162697	5.18387218218497	3.26408133186853e-06	0.00137419764911543	0.00127478896223297	55143/991/1031/163786/83540/51514/6240/7465/595/3014/1111/144455/5888/79968/54962/55055/55159/9212/79915/6605/672/80174/146956/5932/147841/699/64859/65061/994/11065/6790/8318/993/55294/5810/891/54908/10926/1021/2146/54984/301/10783	43
GO:0007346	GO:0007346	regulation of mitotic cell cycle	47/666	459/13131	0.10239651416122	2.01887181298946	5.13601927037381	3.3295537753898e-06	0.00137419764911543	0.00127478896223297	55143/991/1031/163786/83540/51514/23411/119504/6240/7465/595/1111/144455/91754/54962/55055/55159/9212/79915/6605/672/80174/146956/5932/147841/7039/699/64859/994/11065/6790/993/2069/685/55294/891/54908/1021/440/858/2146/54984/301/1164/10783/25/6990	47
GO:0051783	GO:0051783	regulation of nuclear division	20/666	125/13131	0.16	3.15459459459459	5.594638554046	4.51417164308944e-06	0.00170786160496884	0.00158431585473692	2827/55143/991/83540/1111/10635/55055/9212/147841/7039/699/11065/6790/3976/2069/685/5810/891/54908/858	20
GO:0010971	GO:0010971	positive regulation of G2/M transition of mitotic cell cycle	9/666	28/13131	0.321428571428571	6.33735521235521	6.53496232808748	6.08859382214251e-06	0.00212632430404054	0.00197250719695483	51514/6240/7465/595/1111/80174/994/993/891	9
GO:0044772	GO:0044772	mitotic cell cycle phase transition	42/666	402/13131	0.104477611940299	2.05990318676886	4.98890710643865	6.77588772286874e-06	0.00219732359013029	0.00203837043452615	55143/991/1031/163786/83540/51514/6240/7465/595/1111/2059/144455/55055/55159/9212/79915/6605/672/80174/5932/147841/699/64859/994/11065/6790/993/55294/6502/891/79616/54908/10926/1021/2146/54984/4609/9833/301/1164/10783/85417	42
GO:0140014	GO:0140014	mitotic nuclear division	30/666	260/13131	0.115384615384615	2.27494802494803	4.79950386280351	2.19539112603666e-05	0.00664471714147097	0.00616404203177031	55143/991/11004/83540/23411/1111/2059/440145/90417/55055/9493/9212/81565/29128/147841/7039/23397/699/11065/6790/56992/79598/64151/2069/685/64105/891/54908/858/54984	30
GO:0051784	GO:0051784	negative regulation of nuclear division	12/666	58/13131	0.206896551724138	4.07921714818267	5.43237846706546	2.72564846202357e-05	0.00773402751099188	0.00717455230036599	55143/991/83540/1111/55055/9212/147841/699/3976/5810/891/54908	12
GO:0000075	GO:0000075	cell cycle checkpoint signaling	23/666	178/13131	0.129213483146067	2.54760097175828	4.80515220153288	3.38916360240227e-05	0.00832551005548339	0.00772324732946651	55143/991/83540/51514/595/3014/1111/5888/79968/54962/55055/55159/9212/672/146956/5932/147841/699/64859/8318/5810/891/54908	23
