ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
GO:0000793	GO:0000793	condensed chromosome	39/699	253/13769	0.154150197628458	3.03647220478719	7.56050628369922	4.61583677883805e-10	2.44177765600533e-07	2.30305961386235e-07	991/11004/23421/83540/119504/120/9793/3014/1111/4659/90417/5888/55055/9212/81565/6605/29893/672/147841/253635/23397/699/55355/6790/11144/79019/64151/3148/79682/5810/64105/891/64946/54908/55166/387103/222229/54984/6990	39
GO:0000776	GO:0000776	kinetochore	28/699	164/13769	0.170731707317073	3.36309710736592	7.04028827416841	1.40157103165097e-08	2.67794607083425e-06	2.52581123783789e-06	991/11004/23421/83540/119504/9793/4659/90417/55055/9212/81565/6605/147841/253635/699/55355/6790/79019/79682/64105/891/64946/54908/55166/387103/222229/54984/6990	28
GO:0000779	GO:0000779	condensed chromosome, centromeric region	29/699	175/13769	0.165714285714286	3.26426323319027	6.97121583189251	1.55010727136995e-08	2.67794607083425e-06	2.52581123783789e-06	991/11004/23421/83540/119504/9793/4659/90417/55055/9212/81565/6605/147841/253635/699/55355/6790/79019/64151/79682/64105/891/64946/54908/55166/387103/222229/54984/6990	29
GO:0000228	GO:0000228	nuclear chromosome	32/699	209/13769	0.15311004784689	3.01598318856055	6.79151129342464	2.02491196282363e-08	2.67794607083425e-06	2.52581123783789e-06	55388/80312/119392/120/23649/3014/1111/8091/5427/11169/5888/54962/23594/64785/51659/6605/29893/672/146956/23397/9837/7150/8318/11144/6596/64151/5810/5558/4176/222229/54984/84296	32
GO:0000775	GO:0000775	chromosome, centromeric region	33/699	245/13769	0.13469387755102	2.65321888412017	6.03805467545794	2.78397904808559e-07	2.94544983287455e-05	2.7781180395633e-05	55143/991/11004/23421/83540/119504/9793/4659/90417/55055/9212/81565/6605/147841/253635/699/55355/6790/79019/64151/79682/64105/891/64946/54908/1616/55166/387103/222229/2146/54984/79075/6990	33
GO:0098687	GO:0098687	chromosomal region	43/699	375/13769	0.114666666666667	2.25872007629948	5.71512677423587	4.67131969082841e-07	4.11854686074705e-05	3.88457111132047e-05	55143/991/11004/23421/83540/23411/119504/9793/2237/3014/1111/10635/4659/90417/5888/55055/9212/81565/6605/147841/253635/699/64859/55355/6790/11144/79019/64151/54433/79682/64105/891/64946/54908/1616/55166/387103/4176/222229/2146/54984/79075/6990	43
GO:0071162	GO:0071162	CMG complex	6/699	11/13769	0.545454545454545	10.744440109247	7.47673182160215	6.2171506611117e-06	0.000469838957104012	0.000443147280205555	64785/51659/9837/8318/4176/84296	6
GO:0031261	GO:0031261	DNA replication preinitiation complex	6/699	12/13769	0.5	9.84907010014306	7.0919001543786	1.19000428176349e-05	0.000786890331316108	0.000742186880994598	64785/51659/9837/8318/4176/84296	6
GO:0005657	GO:0005657	replication fork	14/699	74/13769	0.189189189189189	3.7266751730271	5.43881727279327	1.7756769214359e-05	0.00104370343493288	0.000984410363462708	55388/23649/3014/1111/5985/5983/11169/54962/146956/29128/56852/6596/5984/5558	14
GO:0000939	GO:0000939	inner kinetochore	7/699	19/13769	0.368421052631579	7.25720954747383	6.31164223201818	2.48505720180971e-05	0.00131459525975734	0.00123991275121874	23421/79019/79682/64105/64946/55166/387103	7
GO:0005819	GO:0005819	spindle	38/699	422/13769	0.0900473933649289	1.77376617917268	3.73345018579723	0.000435936891413892	0.020964601414359	0.0197735967971469	55143/991/11004/9793/84259/440145/145508/79768/90417/55055/9493/79801/9212/81565/10982/29128/23354/60509/150468/994/6790/150275/55207/56992/25886/84541/1894/255758/166378/891/11127/3161/54908/54984/4609/1211/10783/6990	38
GO:0030055	GO:0030055	cell-substrate junction	36/699	398/13769	0.0904522613065327	1.781741324649	3.65981290968967	0.000563106372870064	0.0248236059373553	0.0234133702403869	1969/7431/7414/10580/1308/867/3845/29843/4659/3936/1948/10979/22801/10391/9493/84951/10982/9448/5880/90102/57514/5062/3672/3673/81848/3159/6204/2037/9590/7430/3696/858/10395/301/30011/4478	36
GO:0005925	GO:0005925	focal adhesion	35/699	390/13769	0.0897435897435897	1.76778181284619	3.55708726515685	0.000769768505608288	0.0313236568820603	0.0295441515512817	1969/7431/7414/10580/867/3845/29843/4659/3936/1948/10979/22801/10391/9493/84951/10982/9448/5880/90102/57514/5062/3672/3673/81848/3159/6204/2037/9590/7430/3696/858/10395/301/30011/4478	35
GO:0000794	GO:0000794	condensed nuclear chromosome	10/699	62/13769	0.161290322580645	3.17711938714292	3.97322451377652	0.00104432351838967	0.0394605100877239	0.0372187479486243	120/3014/1111/5888/29893/672/23397/11144/64151/5810	10
