Geneid	HISAT2 on dataset 210 and 211: aligned reads (BAM)	Length
100287102	0	1652
653635	305	1769
102466751	11	68
100302278	0	138
645520	0	1130
79501	0	918
729737	184	5474
102725121	1	1173
102723897	518	2120
102465909	0	68
729759	0	939
100132287	22	4370
105378947	0	2343
101928626	2	798
102465432	9	89
81399	0	939
100133331	179	4273
100288069	163	1371
400728	8	1944
79854	121	1317
643837	554	9233
284593	0	1706
100130417	87	1506
148398	539	2554
26155	19033	2800
339451	995	3450
84069	386	2560
84808	181	3904
57801	784	2153
9636	2678	667
375790	33167	8236
105369174	82	1604
105378948	95	1760
401934	1	1122
54991	964	6973
254099	0	1620
406984	0	95
406983	0	90
554210	0	83
254173	0	4113
8784	0	1200
7293	6	2339
51150	23688	3935
126792	4070	2793
388581	52	1108
118424	3992	3565
6339	837	5477
116983	4943	6389
102465434	0	61
126789	875	1371
54973	8154	2629
102465435	0	65
80772	2507	2929
83756	402	5762
1855	7920	3083
102466740	0	59
54587	2430	3113
54998	9020	1294
81669	6808	5183
148413	2081	1748
55052	3694	2196
441869	45	2695
643965	85	492
102724312	16	1194
64856	90	4659
219293	16	5595
83858	3151	4132
55210	5396	2807
339453	57	1117
29101	11628	1303
643988	2017	2089
142678	3163	8234
8510	8	1240
984	5181	4320
728661	6115	6530
8511	13	906
728642	2727	2628
9906	4121	7297
65220	7253	4699
2782	25224	3194
105378949	62	1932
163688	44	2242
339456	403	977
85452	48	8300
2563	4699	2334
5590	4994	6396
100506504	64	1721
199990	2588	7266
105378592	20	3575
6497	7040	5978
105378594	10	4294
79906	710	10908
100129534	393	2248
11079	9083	4162
5192	2470	2910
9651	41	8161
55229	14	4500
388585	0	1402
115110	0	4619
8764	0	4622
100996583	0	698
127281	45	2981
79258	0	5675
100287898	0	5830
140625	0	1422
440556	66	3848
63976	1644	9884
100422968	0	61
27237	573	3268
1953	474	8629
693135	0	96
127262	4812	2428
49856	1639	1699
7161	623	5572
57212	333	6455
148870	20	3672
388588	26	573
57470	6562	2648
9731	3236	6846
1677	507	3391
339448	2150	3764
100133612	9	1952
728716	0	568
284661	0	2074
55966	0	12657
100616489	0	73
100616421	2	70
261734	1836	6376
8514	1273	9086
26038	3991	9663
6146	41615	2085
102724450	15	378
388591	1368	5223
23463	11215	4872
148645	34	1642
390992	0	731
387509	843	4205
11332	7238	2389
54626	419	5076
83715	119	7729
100422975	0	63
8718	381	1916
57449	1878	5996
79707	2549	6792
80835	9	5361
3104	1434	4177
9903	3926	4962
148479	4726	3882
90326	1063	3054
55735	6687	3293
100505887	0	485
23261	3186	10872
9341	11035	2205
8863	4333	6673
10911	4	1275
3604	99	6292
11315	25931	1122
54206	43060	4505
102724539	17	497
50651	3447	2551
473	8264	9217
102724552	0	694
2023	217658	3253
102465436	4	89
100505975	16	447
765	0	1795
155184	8	3085
6518	0	3040
80045	498	2179
407040	0	110
9563	15463	9485
80176	6955	3118
100506022	91	2438
84275	1721	1603
199953	3374	6972
5293	1953	5989
644997	0	1823
101929074	0	958
22883	25663	5226
56998	1733	2995
84328	1586	2188
64802	2037	4398
100847055	2	78
105376719	0	838
116362	57	655
10277	10046	6946
23095	14644	16016
100422970	0	86
5226	18468	2545
100526739	0	2151
378708	123	1898
1325	26	1231
1676	7574	3408
5195	2679	2567
54897	4875	8967
148345	2	3204
23435	15386	4217
10747	98	2611
6723	7831	1273
5394	8274	2972
2475	19108	8834
100873935	0	706
10218	22	2290
29914	3564	5377
57540	576	5807
101929181	0	1285
26232	4279	1715
93611	5065	3630
26270	1372	2032
10459	4817	1365
374946	4	2526
57085	6278	2060
284498	0	5833
102724659	0	1868
4524	2801	8761
1185	2113	5708
100379251	6	1662
4878	12	855
4879	0	698
26829	5	119
90231	6607	3121
5351	28957	3200
9927	15603	4905
60672	1622	2150
102466982	0	65
943	20	4300
102465836	0	96
7133	3055	3857
100616438	0	61
55187	9054	16348
677885	6	152
9249	6905	2608
102466722	0	67
343066	0	2313
126767	0	4049
93190	0	1048
390999	0	2593
65121	0	2439
440560	0	2074
343069	2	1170
65122	0	1936
400735	0	1840
343071	0	1525
441871	0	1558
440561	0	1720
653606	0	577
102724742	0	921
101929983	0	1437
649330	0	1006
441873	0	1939
649324	0	2214
440563	0	1156
645354	0	2214
645359	0	1939
101060301	0	928
343070	0	1437
400736	0	2456
391003	0	2125
343068	0	1855
391002	0	1558
645382	0	1661
653619	0	1862
729528	0	2458
645414	0	2123
