,external_gene_name,entrezgene_id,chromosome_name,strand,start_position,end_position,logFC,logCPM,F,PValue,FDR
ENSG00000004487.16,KDM1A,23028,1,1,23019443,23083689,0.701830294,7.491767882,50.28874862,2.90E-05,0.000582458
ENSG00000004975.12,DVL2,1856,17,-1,7225342,7234517,0.440643208,5.523076048,34.2090019,0.000146054,0.001620279
ENSG00000005100.13,DHX33,56919,17,-1,5440917,5468982,-0.352893775,5.713747254,38.76958604,8.75E-05,0.001198934
ENSG00000005302.18,MSL3,10943,X,1,11758159,11775772,-1.077839244,4.337828274,79.24465671,3.81E-06,0.000171252
ENSG00000005339.14,CREBBP,1387,16,-1,3725054,3880713,0.104176336,6.986527619,5.067014749,0.047446773,0.11356377
ENSG00000005483.20,KMT2E,55904,7,1,105014190,105115019,0.324541161,6.358485109,45.17048561,4.61E-05,0.000775427
ENSG00000005810.18,MYCBP2,23077,13,-1,77042474,77327094,-0.009366866,6.280337813,0.043658877,0.838577947,0.904791123
ENSG00000006459.11,KDM7A,80853,7,-1,140084746,140176983,-0.06652317,4.309379794,0.251663839,0.626490567,0.757346341
ENSG00000006712.15,PAF1,54623,19,-1,39385629,39391154,0.064606989,8.209145549,1.369069108,0.268421868,0.41810075
ENSG00000008324.11,SS18L2,51188,3,1,42581840,42596934,0.196019655,3.791336657,3.37969705,0.095080526,0.194002028
ENSG00000008405.12,CRY1,1407,12,-1,106991364,107093549,-0.159012851,4.985497565,4.055322466,0.070991105,0.155528848
ENSG00000008838.20,MED24,9862,17,-1,40019097,40061215,0.057873742,5.99546812,0.597688799,0.456895102,0.611964034
ENSG00000009954.11,BAZ1B,9031,7,-1,73440406,73522293,-0.047545635,7.813604569,1.124152233,0.313336849,0.467541039
ENSG00000010803.16,SCMH1,22955,1,-1,41027200,41242154,-0.467238452,4.548636095,29.61000492,0.000259401,0.002431891
ENSG00000011258.16,MBTD1,54799,17,-1,51177425,51260163,0.066640216,4.778367082,1.018560654,0.336059169,0.493142485
ENSG00000011332.19,DPF1,8193,19,-1,38211006,38229714,-0.225459574,2.335475389,2.014254475,0.185473944,0.32069572
ENSG00000012048.22,BRCA1,672,17,-1,43044295,43170245,-0.545940232,6.011328541,42.36507524,6.04E-05,0.000945246
ENSG00000012822.16,CALCOCO1,57658,12,-1,53708517,53727745,0.642072906,5.111086694,40.19969132,7.53E-05,0.001089054
ENSG00000013561.18,RNF14,9604,5,1,141958328,141990292,0.032378363,5.534116233,0.171002939,0.687729192,0.802658069
ENSG00000014123.10,UFL1,23376,6,1,96521595,96555276,-0.168444836,5.881094923,10.75190043,0.008026158,0.029119663
ENSG00000014824.14,SLC30A9,10463,4,1,41990502,42090461,0.11044799,6.35746401,4.243153201,0.065683221,0.146414518
ENSG00000015153.14,YAF2,10138,12,-1,42157104,42238349,-0.17377342,3.571960303,5.214791623,0.044868244,0.108823712
ENSG00000015171.19,ZMYND11,10771,10,1,134465,254637,-0.164935656,6.505951984,13.89890734,0.003750422,0.016666272
ENSG00000018408.14,WWTR1,25937,3,-1,149517235,149736714,-0.302857087,7.026603112,13.03316932,0.004571409,0.019127023
ENSG00000020426.11,MNAT1,4331,14,1,60734742,60969965,-0.232205845,4.813801702,12.77439685,0.004857629,0.019935676
ENSG00000022840.16,RNF10,9921,12,1,120533480,120577588,-0.15724603,7.402276898,9.759359242,0.010477363,0.03580665
ENSG00000023734.11,STRAP,11171,12,1,15882387,15903478,-0.240775989,7.830428913,33.54187921,0.000158126,0.001715623
ENSG00000024526.17,DEPDC1,55635,1,-1,68474152,68497221,-0.884772793,6.551986319,48.10410802,3.52E-05,0.000648433
ENSG00000025293.17,PHF20,51230,20,1,35771974,35950370,-0.000567626,5.889204885,4.32E-05,0.994881059,0.99703696
ENSG00000028839.10,TBPL1,9519,6,1,133952170,133990432,-0.471530562,4.397854552,32.9799972,0.000169229,0.001792717
ENSG00000042429.12,MED17,9440,11,1,93784227,93814963,-0.021764809,5.146641008,0.157415074,0.69967142,0.811858032
ENSG00000047410.14,TPR,7175,1,-1,186311652,186375693,-0.089786884,7.958477984,3.166312648,0.104749214,0.209229803
ENSG00000048052.21,HDAC9,9734,7,1,18086949,19002416,-0.158146488,4.929882916,1.357436905,0.270343606,0.420377666
ENSG00000048649.13,RSF1,51773,11,-1,77660009,77820869,0.196764528,6.422315986,21.94869318,0.000802491,0.005396801
ENSG00000050327.15,ARHGEF5,7984,7,1,144355288,144380632,-0.893068753,5.553671104,1.571404965,0.237802586,0.383613245
ENSG00000053702.15,NRIP2,83714,12,-1,2825348,2835544,-0.121722609,-0.165626245,0.303772736,0.614308313,0.747811855
ENSG00000054118.15,THRAP3,9967,1,1,36224432,36305357,-0.001066117,7.682025947,0.000622035,0.980580539,0.989241872
ENSG00000056487.16,PHF21B,112885,22,-1,44881162,45010005,0.015990272,2.107149657,1.61E-05,0.996896642,0.998313263
ENSG00000059588.10,TARBP1,6894,1,-1,234391313,234479179,-0.430775489,5.500215322,40.18606343,7.54E-05,0.00108953
ENSG00000060069.16,CTDP1,9150,18,1,79679803,79754503,0.162858679,4.898502504,9.220369252,0.012185845,0.04008409
ENSG00000060339.14,CCAR1,55749,10,1,68721012,68792377,-0.054899707,7.172785284,1.233801896,0.292010411,0.444549128
ENSG00000061273.18,HDAC7,51564,12,-1,47782722,47833132,-0.086374734,5.917680133,0.952356112,0.351558233,0.509171099
ENSG00000061337.15,LZTS1,11178,8,-1,20246165,20303963,0.168105341,-1.756555586,0.068433414,0.79935468,0.879863499
ENSG00000061936.9,SFSWAP,6433,12,1,131711081,131799738,-0.026526168,5.639790084,0.177906128,0.681876462,0.799294239
ENSG00000063322.14,MED29,55588,19,1,39391303,39400641,0.243324144,7.573255635,36.60992603,0.000110826,0.001373634
ENSG00000063978.16,RNF4,6047,4,1,2462220,2625320,-0.185127392,6.403802439,22.48294186,0.000735307,0.005051909
ENSG00000064313.12,TAF2,6873,8,-1,119730774,119832841,-0.040345165,6.296152833,0.346200128,0.568991918,0.710172168
ENSG00000064393.16,HIPK2,28996,7,-1,139561570,139777998,-0.201172533,6.957010342,3.978416106,0.073316823,0.159490763
ENSG00000064655.19,EYA2,2139,20,1,46894624,47188844,0.354975638,1.115076044,0.687617327,0.427823373,0.585323121
ENSG00000064703.12,DDX20,11218,1,1,111754832,111775602,-0.157275371,4.945101741,5.729221105,0.03713117,0.093756047
ENSG00000064995.17,TAF11,6882,6,-1,34877462,34888071,-0.347576157,5.179635698,52.26146874,2.46E-05,0.000518274
ENSG00000065526.11,SPEN,23013,1,1,15836095,15940456,0.015437024,7.279421958,0.082070618,0.780209891,0.866589437
ENSG00000065717.15,TLE2,7089,19,-1,2997639,3047635,0.712291294,4.669418024,13.48148669,0.004121973,0.017807265
ENSG00000065883.16,CDK13,8621,7,1,39950121,40099580,0.021060692,6.12450402,0.146533659,0.7096778,0.819741005
ENSG00000066117.14,SMARCD1,6602,12,1,50085200,50100707,-0.457878882,6.302553489,84.33929043,2.86E-06,0.000154066
ENSG00000066135.13,KDM4A,9682,1,1,43650149,43705518,0.548841425,6.260447092,60.42731139,1.30E-05,0.000351521
ENSG00000066468.22,FGFR2,2263,10,-1,121478332,121598458,0.666037901,3.992295861,10.17725737,0.009348664,0.032815672
ENSG00000067334.14,DNTTIP2,30836,1,-1,93866284,93879918,-0.103884211,6.756858001,2.844655379,0.121787384,0.234768406
ENSG00000067369.13,TP53BP1,7158,15,-1,43403061,43510728,0.253889862,6.789004775,14.82581712,0.00305959,0.014310642
ENSG00000067560.11,RHOA,387,3,-1,49359139,49412998,-0.021561666,8.716354803,0.236063814,0.637268458,0.765851215
ENSG00000068001.14,HYAL2,8692,3,-1,50317790,50322782,0.67817017,5.973952415,54.79534918,2.00E-05,0.000457715
ENSG00000068024.16,HDAC4,9759,2,-1,239048168,239401654,-0.257575921,4.655946122,6.754619374,0.026024594,0.071176856
ENSG00000068903.20,SIRT2,22933,19,-1,38878555,38899862,-0.023255187,6.019175365,0.232963951,0.639463051,0.767386773
ENSG00000069399.15,BCL3,602,19,1,44747705,44760044,0.063537943,4.50108735,0.226902585,0.643807563,0.770476155
ENSG00000070061.15,ELP1,8518,9,-1,108866898,108934328,-0.10026043,5.951349436,2.933142342,0.116771679,0.227479623
ENSG00000070495.14,JMJD6,23210,17,-1,76712832,76726799,-0.232232628,4.963150407,6.030278404,0.033356021,0.086403241
ENSG00000070770.9,CSNK2A2,1459,16,-1,58157907,58198106,0.045070252,4.978673523,0.543047892,0.477677825,0.632563823
ENSG00000071243.16,ING3,54556,7,1,120950763,120977216,-0.110848998,3.826552702,2.392689044,0.152157854,0.276530035
ENSG00000071282.12,LMCD1,29995,3,1,8501807,8574668,-0.301455564,3.501052222,4.716552582,0.054326476,0.12611412
ENSG00000071539.14,TRIP13,9319,5,1,892884,919357,-0.42110978,6.701563716,19.15911279,0.001300492,0.007616137
ENSG00000071794.16,HLTF,6596,3,-1,149030127,149086554,-0.695604601,6.723005603,83.72737269,2.96E-06,0.000156189
ENSG00000072110.13,ACTN1,87,14,-1,68874128,68979440,-0.197111531,8.268935877,7.092975642,0.023277278,0.065478128
ENSG00000072803.17,FBXW11,23291,5,-1,171861549,172006873,-0.405380337,6.33135399,49.97590354,2.98E-05,0.000592786
ENSG00000073614.12,KDM5A,5927,12,-1,280057,389320,0.315062364,6.493427139,18.51058642,0.001465068,0.008297568
ENSG00000073921.18,PICALM,8301,11,-1,85957175,86069882,0.068417096,7.800782469,1.22364765,0.293897122,0.446227917
ENSG00000074181.9,NOTCH3,4854,19,-1,15159038,15200995,0.942110304,5.247017872,13.18987038,0.004407924,0.018691364
ENSG00000074266.20,EED,8726,11,1,86244753,86278813,-0.310078209,5.396729714,9.410564926,0.011547092,0.038496375
ENSG00000074319.13,TSG101,7251,11,-1,18468336,18526951,-0.073848123,6.168549644,2.793230503,0.124827926,0.239012612
ENSG00000074800.15,ENO1,2023,1,-1,8861000,8879190,-0.181843561,10.80751568,5.47201193,0.040776269,0.101113943
ENSG00000075089.9,ACTR6,64431,12,1,100199122,100241865,0.006467879,4.72176776,0.007455339,0.932853854,0.962243269
ENSG00000075292.19,ZNF638,27332,2,1,71276561,71435069,0.127891685,6.870561703,4.032791837,0.071662873,0.15672216
ENSG00000075624.15,ACTB,60,7,-1,5526409,5563902,-0.317960774,12.18403215,15.45473681,0.002677042,0.01295443
ENSG00000077463.15,SIRT6,51548,19,-1,4174109,4182566,0.265146989,4.129712436,13.37320762,0.004225472,0.018104447
ENSG00000077522.13,ACTN2,88,1,1,236664141,236764631,0.185654614,-2.499435865,0.135922958,0.722878847,0.82767921
ENSG00000077684.16,JADE1,79960,4,1,128809700,128875224,-0.426936414,5.081852518,29.6936429,0.000256552,0.002416746
ENSG00000077782.20,FGFR1,2260,8,-1,38400215,38468834,-0.128559697,5.063229722,0.554679954,0.47311888,0.62812293
